Customer Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Weighted_RFM_Score,Cluster_ID,Cluster_Segment
Giacobo Skingle,242,1,18.225,4,2,2,8,⭐ Loyal Customers,2.6,3,Cluster 3
Gilberto Cornier,289,1,89.1,4,2,4,10,🏆 Champions,3.5,2,Cluster 2
Gladi Ducker,1326,1,94.505,1,2,4,7,🔄 Potential Loyalists,2.6,2,Cluster 2
Glory Clemon,228,1,100.39499999999998,4,2,4,10,🏆 Champions,3.5,2,Cluster 2
Gnni Cheeke,348,1,83.83500000000001,3,2,4,9,⭐ Loyal Customers,3.2,2,Cluster 2
Godfry Poinsett,619,1,35.64,3,2,3,8,⭐ Loyal Customers,2.75,3,Cluster 3
Goldie Wynes,1047,1,27.945,1,2,2,5,😴 At Risk,1.7,1,Cluster 4
Gothart Bamfield,668,1,38.04,2,2,3,7,🔄 Potential Loyalists,2.45,2,Cluster 2
Graeme Whitehead,282,1,31.7,4,2,3,9,⭐ Loyal Customers,3.05,3,Cluster 3
Gran Sibray,1116,1,17.91,1,2,2,5,😴 At Risk,1.7,1,Cluster 4
Granger Fantham,643,1,79.25,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Granger Smallcombe,779,1,31.624999999999996,2,2,3,7,🔄 Potential Loyalists,2.45,1,Cluster 4
Granville Alberts,1032,1,17.82,1,2,2,5,😴 At Risk,1.7,1,Cluster 4
Grazia Oats,1068,1,9.95,1,2,1,4,💀 Lost Customers,1.25,1,Cluster 4
Gregg Hawkyens,1110,1,8.955,1,2,1,4,💀 Lost Customers,1.25,1,Cluster 4
Gregorius Kislingbury,328,1,46.62,3,2,3,8,⭐ Loyal Customers,2.75,3,Cluster 3
Gregorius Trengrove,806,1,148.92499999999998,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Grete Holborn,1153,1,155.24999999999997,1,2,4,7,🔄 Potential Loyalists,2.6,2,Cluster 2
Guenevere Ruggen,843,1,8.055,2,2,1,5,😴 At Risk,1.55,1,Cluster 4
Gussy Broadbear,610,1,89.1,3,2,4,9,⭐ Loyal Customers,3.2,2,Cluster 2
Gustaf Ciccotti,957,1,59.75,2,2,3,7,🔄 Potential Loyalists,2.45,2,Cluster 2
Guthrey Petracci,1326,1,17.91,1,2,2,5,😴 At Risk,1.7,1,Cluster 4
Gwenni Ratt,344,1,109.93999999999998,3,2,4,9,⭐ Loyal Customers,3.2,2,Cluster 2
Hadley Reuven,82,1,123.50999999999999,4,2,4,10,🏆 Champions,3.5,2,Cluster 2
Hailee Radbone,776,1,35.849999999999994,2,2,3,7,🔄 Potential Loyalists,2.45,2,Cluster 2
Hall Ranner,1153,1,158.12499999999997,1,2,4,7,🔄 Potential Loyalists,2.6,2,Cluster 2
Hamlen Pallister,355,1,10.935,3,2,1,6,😐 Need Attention,1.85,3,Cluster 3
Hartley Mattioli,1074,1,102.75999999999999,1,2,4,7,🔄 Potential Loyalists,2.6,2,Cluster 2
Haslett Jodrelle,431,1,22.884999999999998,3,2,2,7,🔄 Potential Loyalists,2.3,3,Cluster 3
Hayward Goulter,1039,1,2.985,1,2,1,4,💀 Lost Customers,1.25,1,Cluster 4
Hazel Saill,675,1,82.5,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Heall Perris,583,1,46.62,3,2,3,8,⭐ Loyal Customers,2.75,2,Cluster 2
Heda Fromant,924,1,15.54,2,2,1,5,😴 At Risk,1.55,1,Cluster 4
Helaina Rainforth,379,1,33.47,3,2,3,8,⭐ Loyal Customers,2.75,3,Cluster 3
Helli Petroulis,1129,1,123.50999999999999,1,2,4,7,🔄 Potential Loyalists,2.6,2,Cluster 2
Heloise Zeal,190,1,25.9,4,2,2,8,⭐ Loyal Customers,2.6,3,Cluster 3
Henderson Crowne,119,1,15.54,4,2,1,7,🔄 Potential Loyalists,2.15,3,Cluster 3
Hermann Larvor,250,1,178.70999999999998,4,2,4,10,🏆 Champions,3.5,2,Cluster 2
Hewet Synnot,767,1,11.25,2,2,1,5,😴 At Risk,1.55,1,Cluster 4
Hildegarde Brangan,637,1,111.78,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Hillel Mairs,903,1,2.985,2,2,1,5,😴 At Risk,1.55,1,Cluster 4
Hussein Olliff,1052,1,33.75,1,2,3,6,😴 At Risk,2.15,1,Cluster 4
Ibby Charters,253,1,20.625,4,2,2,8,⭐ Loyal Customers,2.6,3,Cluster 3
Ilaire Sprakes,413,1,54.96999999999999,3,2,3,8,⭐ Loyal Customers,2.75,2,Cluster 2
Ilka Gurnee,964,1,23.31,2,2,2,6,😴 At Risk,2.0,1,Cluster 4
Ilysa Whapple,534,1,13.5,3,2,1,6,😐 Need Attention,1.85,3,Cluster 3
Ingamar Eberlein,701,1,21.509999999999998,2,2,2,6,😴 At Risk,2.0,1,Cluster 4
Ingeberg Mulliner,1100,1,15.85,1,2,1,4,💀 Lost Customers,1.25,1,Cluster 4
Ingelbert Hotchkin,1254,1,167.67000000000002,1,2,4,7,🔄 Potential Loyalists,2.6,2,Cluster 2
Inger Bouldon,1,1,15.54,4,2,1,7,🔄 Potential Loyalists,2.15,3,Cluster 3
Innis Renhard,324,1,72.9,3,2,4,9,⭐ Loyal Customers,3.2,2,Cluster 2
Iorgo Kleinert,190,1,11.94,4,2,1,7,🔄 Potential Loyalists,2.15,3,Cluster 3
Ira Sjostrom,244,1,80.67,4,2,4,10,🏆 Champions,3.5,2,Cluster 2
Irv Hay,438,1,5.97,3,2,1,6,😐 Need Attention,1.85,3,Cluster 3
Irvine Phillpot,1276,1,41.25,1,2,3,6,😴 At Risk,2.15,1,Cluster 4
Isa Blazewicz,396,1,31.08,3,2,2,7,🔄 Potential Loyalists,2.3,3,Cluster 3
Isac Jesper,519,1,59.699999999999996,3,2,3,8,⭐ Loyal Customers,2.75,2,Cluster 2
Isidore Hussey,264,1,17.91,4,2,2,8,⭐ Loyal Customers,2.6,3,Cluster 3
Isis Hessel,838,1,83.83500000000001,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Isis Pikett,3,1,38.849999999999994,4,2,3,9,⭐ Loyal Customers,3.05,3,Cluster 3
Itch Norquoy,660,1,13.5,2,2,1,5,😴 At Risk,1.55,3,Cluster 3
Jacinthe Balsillie,742,1,12.95,2,2,1,5,😴 At Risk,1.55,1,Cluster 4
Jackquelin Chugg,762,1,82.33999999999999,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Jacquelyn Maha,481,1,8.91,3,2,1,6,😐 Need Attention,1.85,3,Cluster 3
Jami Redholes,429,1,12.95,3,2,1,6,😐 Need Attention,1.85,3,Cluster 3
Janella Eden,1252,1,59.56999999999999,1,2,3,6,😴 At Risk,2.15,1,Cluster 4
Janella Millett,157,2,162.17499999999998,4,4,4,12,🏆 Champions,4.0,0,Cluster 1
Janeva Edinboro,219,1,28.679999999999996,4,2,2,8,⭐ Loyal Customers,2.6,3,Cluster 3
Janifer Bagot,903,1,14.924999999999999,2,2,1,5,😴 At Risk,1.55,1,Cluster 4
Jany Rudeforth,416,1,23.31,3,2,2,7,🔄 Potential Loyalists,2.3,3,Cluster 3
Jaquenette Skentelbery,1113,1,25.9,1,2,2,5,😴 At Risk,1.7,1,Cluster 4
Jarred Camillo,628,1,8.91,2,2,1,5,😴 At Risk,1.55,3,Cluster 3
Jarret Toye,1285,1,25.9,1,2,2,5,😴 At Risk,1.7,1,Cluster 4
Jasper Sisneros,822,1,11.94,2,2,1,5,😴 At Risk,1.55,1,Cluster 4
Javier Kopke,1100,1,41.25,1,2,3,6,😴 At Risk,2.15,1,Cluster 4
Jed Kennicott,42,1,31.08,4,2,2,8,⭐ Loyal Customers,2.6,3,Cluster 3
Jeffrey Dufaire,1129,1,101.29499999999999,1,2,4,7,🔄 Potential Loyalists,2.6,2,Cluster 2
Jemimah Ethelston,165,1,30.06,4,2,2,8,⭐ Loyal Customers,2.6,3,Cluster 3
Jennica Tewelson,957,1,27.484999999999996,2,2,2,6,😴 At Risk,2.0,1,Cluster 4
Jennifer Rangall,397,1,17.82,3,2,2,7,🔄 Potential Loyalists,2.3,3,Cluster 3
Jennifer Wilkisson,1206,1,8.055,1,2,1,4,💀 Lost Customers,1.25,1,Cluster 4
Jeno Capey,462,1,3.885,3,2,1,6,😐 Need Attention,1.85,3,Cluster 3
Jeno Druitt,156,1,72.91,4,2,4,10,🏆 Champions,3.5,2,Cluster 2
Jereme Gippes,1248,1,52.38,1,2,3,6,😴 At Risk,2.15,1,Cluster 4
Jermaine Branchett,806,1,91.53999999999999,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Jewelle Shenton,843,1,63.24999999999999,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Jilly Dreng,354,1,22.5,3,2,2,7,🔄 Potential Loyalists,2.3,3,Cluster 3
Jimmy Dymoke,67,5,120.38499999999999,4,4,4,12,🏆 Champions,4.0,0,Cluster 1
Joceline Reddoch,904,1,137.42499999999998,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Jocko Pray,320,1,114.42499999999998,3,2,4,9,⭐ Loyal Customers,3.2,2,Cluster 2
Jodee Caldicott,917,1,155.24999999999997,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Joey Jefferys,1069,1,29.849999999999998,1,2,2,5,😴 At Risk,1.7,1,Cluster 4
Johna Bluck,1100,1,31.08,1,2,2,5,😴 At Risk,1.7,1,Cluster 4
Jordana Halden,236,1,14.58,4,2,1,7,🔄 Potential Loyalists,2.15,3,Cluster 3
Joshuah Awdry,1201,1,23.88,1,2,2,5,😴 At Risk,1.7,1,Cluster 4
Judd De Leek,696,1,5.97,2,2,1,5,😴 At Risk,1.55,1,Cluster 4
Jule Deehan,253,1,20.25,4,2,2,8,⭐ Loyal Customers,2.6,3,Cluster 3
Julius Mccaull,770,1,41.25,2,2,3,7,🔄 Potential Loyalists,2.45,2,Cluster 2
Kacy Canto,1150,1,137.42499999999998,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Kaela Nottram,22,1,45.769999999999996,4,3,3,10,🏆 Champions,3.3,3,Cluster 3
Kaja Loxton,511,1,87.30000000000001,3,3,4,10,🏆 Champions,3.45,2,Cluster 2
Kameko Philbrick,1247,1,12.15,1,3,1,5,😴 At Risk,1.5,1,Cluster 4
Kandace Cragell,150,1,28.679999999999996,4,3,2,9,⭐ Loyal Customers,2.85,3,Cluster 3
Kandy Heddan,510,1,41.25,3,3,3,9,⭐ Loyal Customers,3.0,3,Cluster 3
Kari Swede,956,1,33.0,2,3,3,8,🔄 Potential Loyalists,2.7,1,Cluster 4
Karl Imorts,599,1,139.725,3,3,4,10,🏆 Champions,3.45,2,Cluster 2
Karlan Karby,583,1,59.4,3,3,3,9,⭐ Loyal Customers,3.0,2,Cluster 2
Karry Flanders,1193,1,145.82,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Karylin Huddart,839,1,23.775,2,3,2,7,🔄 Potential Loyalists,2.25,1,Cluster 4
Katerina Melloi,1047,1,25.9,1,3,2,6,😴 At Risk,1.95,1,Cluster 4
Keefer Cake,314,1,57.06,4,3,3,10,🏆 Champions,3.3,3,Cluster 3
Ken Lestrange,921,1,26.73,2,3,2,7,🔄 Potential Loyalists,2.25,1,Cluster 4
Kerr Patise,96,1,14.339999999999998,4,3,1,8,⭐ Loyal Customers,2.4,3,Cluster 3
Ketty Bromehead,957,1,119.13999999999999,2,3,4,9,🔄 Potential Loyalists,3.15,2,Cluster 2
Kevan Grinsted,1214,1,64.75,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Kienan Ferson,791,1,13.365,2,3,1,6,😴 At Risk,1.8,1,Cluster 4
Kienan Scholard,270,1,33.75,4,3,3,10,🏆 Champions,3.3,3,Cluster 3
Killian Osler,1209,1,63.4,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Kim Kemery,8,1,23.9,4,3,2,9,⭐ Loyal Customers,2.85,3,Cluster 3
Kipper Boorn,393,1,53.699999999999996,3,3,3,9,⭐ Loyal Customers,3.0,2,Cluster 2
Kippie Marrison,147,2,135.01,4,4,4,12,🏆 Champions,4.0,0,Cluster 1
Kizzie Warman,1009,1,66.92999999999999,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Klarika Egglestone,700,1,72.9,2,3,4,9,🔄 Potential Loyalists,3.15,2,Cluster 2
Konstantine Thoumasson,523,1,8.91,3,3,1,7,🔄 Potential Loyalists,2.1,3,Cluster 3
Koralle Heads,409,1,35.849999999999994,3,3,3,9,⭐ Loyal Customers,3.0,3,Cluster 3
Koren Ferretti,250,1,23.31,4,3,2,9,⭐ Loyal Customers,2.85,3,Cluster 3
Koressa O'Geneay,232,1,47.8,4,3,3,10,🏆 Champions,3.3,3,Cluster 3
Kris O'Cullen,230,1,45.769999999999996,4,3,3,10,🏆 Champions,3.3,3,Cluster 3
Krissie Hammett,1322,1,11.94,1,3,1,5,😴 At Risk,1.5,1,Cluster 4
Kristos Streight,511,1,8.73,3,3,1,7,🔄 Potential Loyalists,2.1,3,Cluster 3
Lacee Burtenshaw,1015,1,145.82,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Lacee Tanti,1211,1,204.92999999999995,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Laryssa Benediktovich,966,1,8.25,2,3,1,6,😴 At Risk,1.8,1,Cluster 4
Laurence Ellingham,153,1,3.645,4,3,1,8,⭐ Loyal Customers,2.4,3,Cluster 3
Lauritz Ledgley,205,1,27.0,4,3,2,9,⭐ Loyal Customers,2.85,3,Cluster 3
Lawrence Pratt,160,1,43.650000000000006,4,3,3,10,🏆 Champions,3.3,3,Cluster 3
Layne Imason,877,1,43.650000000000006,2,3,3,8,🔄 Potential Loyalists,2.7,2,Cluster 2
Leesa Flaonier,101,1,63.24999999999999,4,3,4,11,🏆 Champions,3.75,3,Cluster 3
Leia Kernan,270,1,58.2,4,3,3,10,🏆 Champions,3.3,3,Cluster 3
Lem Pennacci,867,1,53.46,2,3,3,8,🔄 Potential Loyalists,2.7,2,Cluster 2
Lemuel Rignold,230,1,200.78999999999996,4,3,4,11,🏆 Champions,3.75,2,Cluster 2
Lenci Haggerstone,593,1,35.82,3,3,3,9,⭐ Loyal Customers,3.0,3,Cluster 3
Lenette Dwerryhouse,491,1,82.33999999999999,3,3,4,10,🏆 Champions,3.45,2,Cluster 2
Lenka Rushmer,280,1,77.69999999999999,4,3,4,11,🏆 Champions,3.75,2,Cluster 2
Leonie Cullrford,626,1,24.75,2,3,2,7,🔄 Potential Loyalists,2.25,3,Cluster 3
Leonore Francisco,769,1,71.15,2,3,4,9,🔄 Potential Loyalists,3.15,2,Cluster 2
Leontine Rubrow,586,1,23.31,3,3,2,8,⭐ Loyal Customers,2.55,3,Cluster 3
Lewes Danes,217,1,43.650000000000006,4,3,3,10,🏆 Champions,3.3,3,Cluster 3
Lexie Mallan,842,1,23.775,2,3,2,7,🔄 Potential Loyalists,2.25,1,Cluster 4
Lind Conyers,837,1,24.3,2,3,2,7,🔄 Potential Loyalists,2.25,1,Cluster 4
Lindon Agnolo,837,1,77.62499999999999,2,3,4,9,🔄 Potential Loyalists,3.15,2,Cluster 2
Lindy Uttermare,853,1,43.650000000000006,2,3,3,8,🔄 Potential Loyalists,2.7,2,Cluster 2
Linn Alaway,576,1,20.25,3,3,2,8,⭐ Loyal Customers,2.55,3,Cluster 3
Linus Flippelli,522,1,126.49999999999999,3,3,4,10,🏆 Champions,3.45,2,Cluster 2
Lisa Goodger,12,1,21.479999999999997,4,3,2,9,⭐ Loyal Customers,2.85,3,Cluster 3
Livy Lathleiff,1220,1,36.45,1,3,3,7,🔄 Potential Loyalists,2.4,1,Cluster 4
Llywellyn Oscroft,74,1,114.42499999999998,4,3,4,11,🏆 Champions,3.75,2,Cluster 2
Lorelei Nardoni,1121,1,8.95,1,3,1,5,😴 At Risk,1.5,1,Cluster 4
Lorenzo Yeoland,44,1,7.29,4,3,1,8,⭐ Loyal Customers,2.4,3,Cluster 3
Lorianne Kyneton,546,1,29.849999999999998,3,3,2,8,⭐ Loyal Customers,2.55,3,Cluster 3
Lothaire Mizzi,873,1,40.5,2,3,3,8,🔄 Potential Loyalists,2.7,2,Cluster 2
Lowell Keenleyside,387,1,11.94,3,3,1,7,🔄 Potential Loyalists,2.1,3,Cluster 3
Lucienne Scargle,1042,1,56.669999999999995,1,3,3,7,🔄 Potential Loyalists,2.4,2,Cluster 2
Lukas Whittlesee,1164,1,17.924999999999997,1,3,2,6,😴 At Risk,1.95,1,Cluster 4
Lyn Entwistle,774,1,9.95,2,3,1,6,😴 At Risk,1.8,1,Cluster 4
Lyndsey MacManus,1208,1,136.61999999999998,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Lynnea Danton,534,1,19.9,3,3,2,8,⭐ Loyal Customers,2.55,3,Cluster 3
Lyon Ibert,1227,1,8.73,1,3,1,5,😴 At Risk,1.5,1,Cluster 4
Mab Blakemore,767,1,59.75,2,3,3,8,🔄 Potential Loyalists,2.7,2,Cluster 2
Madelene Prinn,948,1,33.464999999999996,2,3,3,8,🔄 Potential Loyalists,2.7,1,Cluster 4
Mag Armistead,347,1,43.684999999999995,3,3,3,9,⭐ Loyal Customers,3.0,3,Cluster 3
Maggy Baistow,913,1,8.25,2,3,1,6,😴 At Risk,1.8,1,Cluster 4
Maggy Harby,96,1,21.509999999999998,4,3,2,9,⭐ Loyal Customers,2.85,3,Cluster 3
Mahala Ludwell,525,1,23.88,3,3,2,8,⭐ Loyal Customers,2.55,3,Cluster 3
Maisie Sarvar,663,1,11.655,2,3,1,6,😴 At Risk,1.8,3,Cluster 3
Malynda Glawsop,99,1,7.29,4,3,1,8,⭐ Loyal Customers,2.4,3,Cluster 3
Man Fright,553,1,16.11,3,3,1,7,🔄 Potential Loyalists,2.1,3,Cluster 3
Manuel Darrigoe,1237,1,14.339999999999998,1,3,1,5,😴 At Risk,1.5,1,Cluster 4
Margie Palleske,1267,1,41.25,1,3,3,7,🔄 Potential Loyalists,2.4,1,Cluster 4
Marianna Vedmore,435,1,114.42499999999998,3,3,4,10,🏆 Champions,3.45,2,Cluster 2
Marie-jeanne Redgrave,66,1,13.365,4,3,1,8,⭐ Loyal Customers,2.4,3,Cluster 3
Marja Urion,287,5,158.995,4,4,4,12,🏆 Champions,4.0,0,Cluster 1
Marjorie Yoxen,744,1,35.64,2,3,3,8,🔄 Potential Loyalists,2.7,2,Cluster 2
Marlena Howsden,1110,1,38.849999999999994,1,3,3,7,🔄 Potential Loyalists,2.4,1,Cluster 4
Martie Brimilcombe,701,1,9.95,2,3,1,6,😴 At Risk,1.8,1,Cluster 4
Marty Scholl,275,1,17.46,4,3,2,9,⭐ Loyal Customers,2.85,3,Cluster 3
Marvin Gundry,1259,1,38.04,1,3,3,7,🔄 Potential Loyalists,2.4,1,Cluster 4
Marvin Malloy,1317,1,68.655,1,3,4,8,🔄 Potential Loyalists,2.85,1,Cluster 4
Mathilda Matiasek,39,1,63.24999999999999,4,3,4,11,🏆 Champions,3.75,3,Cluster 3
Maxim McParland,1065,1,45.769999999999996,1,3,3,7,🔄 Potential Loyalists,2.4,1,Cluster 4
Meade Birkin,81,1,29.1,4,3,2,9,⭐ Loyal Customers,2.85,3,Cluster 3
Melli Brockway,967,1,34.154999999999994,2,3,3,8,🔄 Potential Loyalists,2.7,1,Cluster 4
Melodie OIlier,584,1,5.369999999999999,3,3,1,7,🔄 Potential Loyalists,2.1,3,Cluster 3
Melosa Kippen,289,1,5.369999999999999,4,3,1,8,⭐ Loyal Customers,2.4,3,Cluster 3
Mercedes Acott,914,1,2.985,2,3,1,6,😴 At Risk,1.8,1,Cluster 4
Merrel Steptow,1237,1,14.55,1,3,1,5,😴 At Risk,1.5,1,Cluster 4
Merrile Cobbledick,387,1,6.75,3,3,1,7,🔄 Potential Loyalists,2.1,3,Cluster 3
Michale Delves,640,1,155.24999999999997,2,3,4,9,🔄 Potential Loyalists,3.15,2,Cluster 2
Milty Middis,512,1,178.70999999999998,3,3,4,10,🏆 Champions,3.45,2,Cluster 2
Mindy Bogey,282,1,45.0,4,3,3,10,🏆 Champions,3.3,3,Cluster 3
Minetta Ackrill,1034,1,59.75,1,3,3,7,🔄 Potential Loyalists,2.4,2,Cluster 2
Minette Whellans,510,1,53.46,3,3,3,9,⭐ Loyal Customers,3.0,2,Cluster 2
Minni Alabaster,1249,1,20.25,1,3,2,6,😴 At Risk,1.95,1,Cluster 4
Minny Chamberlayne,1249,1,63.24999999999999,1,3,4,8,🔄 Potential Loyalists,2.85,1,Cluster 4
Miran Doidge,272,1,41.25,4,3,3,10,🏆 Champions,3.3,3,Cluster 3
Mitch Attwool,284,1,7.77,4,3,1,8,⭐ Loyal Customers,2.4,3,Cluster 3
Modesty MacConnechie,118,2,18.689999999999998,4,4,2,10,🏆 Champions,3.1,0,Cluster 1
Mohandis Spurden,1275,1,41.169999999999995,1,3,3,7,🔄 Potential Loyalists,2.4,1,Cluster 4
Monica Fearon,460,1,5.97,3,3,1,7,🔄 Potential Loyalists,2.1,3,Cluster 3
Monique Canty,1255,1,59.75,1,3,3,7,🔄 Potential Loyalists,2.4,1,Cluster 4
Mord Meriet,1109,1,68.655,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Mordy Van Der Vlies,333,1,8.955,3,3,1,7,🔄 Potential Loyalists,2.1,3,Cluster 3
Morgen Seson,269,2,27.195,4,4,2,10,🏆 Champions,3.1,0,Cluster 1
Morly Rocks,129,1,8.95,4,3,1,8,⭐ Loyal Customers,2.4,3,Cluster 3
Morna Hansed,380,1,21.509999999999998,3,3,2,8,⭐ Loyal Customers,2.55,3,Cluster 3
Mozelle Calcutt,1277,1,39.8,1,3,3,7,🔄 Potential Loyalists,2.4,1,Cluster 4
Muffin Yallop,1033,1,21.87,1,3,2,6,😴 At Risk,1.95,1,Cluster 4
Murdock Hame,1018,1,31.7,1,3,3,7,🔄 Potential Loyalists,2.4,1,Cluster 4
Murielle Lorinez,904,1,167.67000000000002,2,3,4,9,🔄 Potential Loyalists,3.15,2,Cluster 2
Myles Seawright,510,1,24.3,3,3,2,8,⭐ Loyal Customers,2.55,3,Cluster 3
Nadeen Broomer,652,1,22.884999999999998,2,3,2,7,🔄 Potential Loyalists,2.25,3,Cluster 3
Nalani Pirrone,214,1,38.04,4,3,3,10,🏆 Champions,3.3,3,Cluster 3
Nannie Naseby,463,1,16.5,3,3,1,7,🔄 Potential Loyalists,2.1,3,Cluster 3
Nanny Izhakov,1046,1,23.9,1,3,2,6,😴 At Risk,1.95,1,Cluster 4
Nanny Lush,1152,1,204.92999999999995,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Nat Saleway,274,1,9.51,4,3,1,8,⭐ Loyal Customers,2.4,3,Cluster 3
Natal Vigrass,981,1,10.754999999999999,1,3,1,5,😴 At Risk,1.5,1,Cluster 4
Nataniel Helkin,102,1,79.25,4,3,4,11,🏆 Champions,3.75,2,Cluster 2
Nathan Sictornes,66,1,29.849999999999998,4,3,2,9,⭐ Loyal Customers,2.85,3,Cluster 3
Natka Leethem,476,1,5.97,3,3,1,7,🔄 Potential Loyalists,2.1,3,Cluster 3
Nealson Cuttler,454,1,281.675,3,3,4,10,🏆 Champions,3.45,2,Cluster 2
Neely Broadberrie,461,1,63.4,3,3,4,10,🏆 Champions,3.45,2,Cluster 2
Nertie Poolman,582,1,22.5,3,3,2,8,⭐ Loyal Customers,2.55,3,Cluster 3
Nick Brakespear,617,1,23.31,3,3,2,8,⭐ Loyal Customers,2.55,3,Cluster 3
Nickey Youles,902,1,148.92499999999998,2,3,4,9,🔄 Potential Loyalists,3.15,2,Cluster 2
Nicko Corps,735,1,47.13999999999999,2,3,3,8,🔄 Potential Loyalists,2.7,2,Cluster 2
Nicky Ayris,713,1,9.51,2,3,1,6,😴 At Risk,1.8,1,Cluster 4
Nicolina Jenny,382,1,9.95,3,3,1,7,🔄 Potential Loyalists,2.1,3,Cluster 3
Niels Leake,314,1,8.955,4,3,1,8,⭐ Loyal Customers,2.4,3,Cluster 3
Nissie Rudland,342,1,59.699999999999996,3,3,3,9,⭐ Loyal Customers,3.0,2,Cluster 2
Noak Wyvill,913,1,16.11,2,3,1,6,😴 At Risk,1.8,1,Cluster 4
Noam Climance,1101,1,32.22,1,3,3,7,🔄 Potential Loyalists,2.4,1,Cluster 4
Nobe Buney,1308,1,77.69999999999999,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Noel Chisholm,991,1,77.69999999999999,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Noni Furber,1090,1,148.92499999999998,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Norene Magauran,977,1,155.24999999999997,2,3,4,9,🔄 Potential Loyalists,3.15,2,Cluster 2
Odelia Skerme,190,3,46.83,4,4,3,11,🏆 Champions,3.55,0,Cluster 1
Odille Thynne,893,1,34.154999999999994,2,3,3,8,🔄 Potential Loyalists,2.7,1,Cluster 4
Olag Baudassi,861,1,16.5,2,3,1,6,😴 At Risk,1.8,1,Cluster 4
Oran Colbeck,73,1,91.53999999999999,4,3,4,11,🏆 Champions,3.75,2,Cluster 2
Orazio Comber,540,1,90.27000000000001,3,3,4,10,🏆 Champions,3.45,2,Cluster 2
Orbadiah Duny,586,1,40.5,3,3,3,9,⭐ Loyal Customers,3.0,2,Cluster 2
Orland Tadman,495,1,23.88,3,3,2,8,⭐ Loyal Customers,2.55,3,Cluster 3
Orly Ryland,162,1,9.51,4,3,1,8,⭐ Loyal Customers,2.4,3,Cluster 3
Osbert Robins,750,1,148.92499999999998,2,3,4,9,🔄 Potential Loyalists,3.15,2,Cluster 2
Osmund Clausen-Thue,1231,1,17.46,1,3,2,6,😴 At Risk,1.95,1,Cluster 4
Othello Syseland,453,1,12.95,3,3,1,7,🔄 Potential Loyalists,2.1,3,Cluster 3
Pall Redford,1164,1,82.33999999999999,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Paola Brydell,207,1,14.85,4,3,1,8,⭐ Loyal Customers,2.4,3,Cluster 3
Parker Tofful,1211,1,72.9,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Parsifal Metrick,1272,1,33.464999999999996,1,3,3,7,🔄 Potential Loyalists,2.4,1,Cluster 4
Patrice Trobe,137,1,11.655,4,3,1,8,⭐ Loyal Customers,2.4,3,Cluster 3
Patsy Vasilenko,1158,1,20.625,1,3,2,6,😴 At Risk,1.95,1,Cluster 4
Paulo Yea,419,1,61.754999999999995,3,3,3,9,⭐ Loyal Customers,3.0,2,Cluster 2
Pen Wye,1224,1,17.91,1,3,2,6,😴 At Risk,1.95,1,Cluster 4
Perice Eberz,893,1,7.77,2,3,1,6,😴 At Risk,1.8,1,Cluster 4
Perkin Stonner,1031,1,6.75,1,3,1,5,😴 At Risk,1.5,1,Cluster 4
Perry Lyfield,1277,1,89.35499999999999,1,3,4,8,🔄 Potential Loyalists,2.85,2,Cluster 2
Petey Kingsbury,201,1,178.70999999999998,4,3,4,11,🏆 Champions,3.75,2,Cluster 2
Peyter Lauritzen,301,1,7.77,4,3,1,8,⭐ Loyal Customers,2.4,3,Cluster 3
Peyter Matignon,1086,1,29.7,1,3,2,6,😴 At Risk,1.95,1,Cluster 4
Philipa Petrushanko,874,1,72.9,2,3,4,9,🔄 Potential Loyalists,3.15,2,Cluster 2
Phyllys Ormerod,503,1,17.91,3,3,2,8,⭐ Loyal Customers,2.55,3,Cluster 3
