Customer Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
Jule Deehan,253,1,20.25,4,2,2,8,⭐ Loyal Customers
Julius Mccaull,770,1,41.25,2,2,3,7,🔄 Potential Loyalists
Kacy Canto,1150,1,137.42499999999998,1,3,4,8,🔄 Potential Loyalists
Kaela Nottram,22,1,45.769999999999996,4,3,3,10,🏆 Champions
Kaja Loxton,511,1,87.30000000000001,3,3,4,10,🏆 Champions
Kameko Philbrick,1247,1,12.15,1,3,1,5,😴 At Risk
Kandace Cragell,150,1,28.679999999999996,4,3,2,9,⭐ Loyal Customers
Kandy Heddan,510,1,41.25,3,3,3,9,⭐ Loyal Customers
Kari Swede,956,1,33.0,2,3,3,8,🔄 Potential Loyalists
Karl Imorts,599,1,139.725,3,3,4,10,🏆 Champions
Karlan Karby,583,1,59.4,3,3,3,9,⭐ Loyal Customers
Karry Flanders,1193,1,145.82,1,3,4,8,🔄 Potential Loyalists
Karylin Huddart,839,1,23.775,2,3,2,7,🔄 Potential Loyalists
Katerina Melloi,1047,1,25.9,1,3,2,6,😴 At Risk
Keefer Cake,314,1,57.06,4,3,3,10,🏆 Champions
Ken Lestrange,921,1,26.73,2,3,2,7,🔄 Potential Loyalists
Kerr Patise,96,1,14.339999999999998,4,3,1,8,⭐ Loyal Customers
Ketty Bromehead,957,1,119.13999999999999,2,3,4,9,🔄 Potential Loyalists
Kevan Grinsted,1214,1,64.75,1,3,4,8,🔄 Potential Loyalists
Kienan Ferson,791,1,13.365,2,3,1,6,😴 At Risk
Kienan Scholard,270,1,33.75,4,3,3,10,🏆 Champions
Killian Osler,1209,1,63.4,1,3,4,8,🔄 Potential Loyalists
Kim Kemery,8,1,23.9,4,3,2,9,⭐ Loyal Customers
Kipper Boorn,393,1,53.699999999999996,3,3,3,9,⭐ Loyal Customers
Kippie Marrison,147,2,135.01,4,4,4,12,🏆 Champions
Kizzie Warman,1009,1,66.92999999999999,1,3,4,8,🔄 Potential Loyalists
Klarika Egglestone,700,1,72.9,2,3,4,9,🔄 Potential Loyalists
Konstantine Thoumasson,523,1,8.91,3,3,1,7,🔄 Potential Loyalists
Koralle Heads,409,1,35.849999999999994,3,3,3,9,⭐ Loyal Customers
Koren Ferretti,250,1,23.31,4,3,2,9,⭐ Loyal Customers
Koressa O'Geneay,232,1,47.8,4,3,3,10,🏆 Champions
Kris O'Cullen,230,1,45.769999999999996,4,3,3,10,🏆 Champions
Krissie Hammett,1322,1,11.94,1,3,1,5,😴 At Risk
Kristos Streight,511,1,8.73,3,3,1,7,🔄 Potential Loyalists
Lacee Burtenshaw,1015,1,145.82,1,3,4,8,🔄 Potential Loyalists
Lacee Tanti,1211,1,204.92999999999995,1,3,4,8,🔄 Potential Loyalists
Laryssa Benediktovich,966,1,8.25,2,3,1,6,😴 At Risk
Laurence Ellingham,153,1,3.645,4,3,1,8,⭐ Loyal Customers
Lauritz Ledgley,205,1,27.0,4,3,2,9,⭐ Loyal Customers
Lawrence Pratt,160,1,43.650000000000006,4,3,3,10,🏆 Champions
Layne Imason,877,1,43.650000000000006,2,3,3,8,🔄 Potential Loyalists
Leesa Flaonier,101,1,63.24999999999999,4,3,4,11,🏆 Champions
Leia Kernan,270,1,58.2,4,3,3,10,🏆 Champions
Lem Pennacci,867,1,53.46,2,3,3,8,🔄 Potential Loyalists
Lemuel Rignold,230,1,200.78999999999996,4,3,4,11,🏆 Champions
Lenci Haggerstone,593,1,35.82,3,3,3,9,⭐ Loyal Customers
Lenette Dwerryhouse,491,1,82.33999999999999,3,3,4,10,🏆 Champions
Lenka Rushmer,280,1,77.69999999999999,4,3,4,11,🏆 Champions
Leonie Cullrford,626,1,24.75,2,3,2,7,🔄 Potential Loyalists
Leonore Francisco,769,1,71.15,2,3,4,9,🔄 Potential Loyalists
Leontine Rubrow,586,1,23.31,3,3,2,8,⭐ Loyal Customers
Lewes Danes,217,1,43.650000000000006,4,3,3,10,🏆 Champions
Lexie Mallan,842,1,23.775,2,3,2,7,🔄 Potential Loyalists
Lind Conyers,837,1,24.3,2,3,2,7,🔄 Potential Loyalists
Lindon Agnolo,837,1,77.62499999999999,2,3,4,9,🔄 Potential Loyalists
Lindy Uttermare,853,1,43.650000000000006,2,3,3,8,🔄 Potential Loyalists
Linn Alaway,576,1,20.25,3,3,2,8,⭐ Loyal Customers
Linus Flippelli,522,1,126.49999999999999,3,3,4,10,🏆 Champions
Lisa Goodger,12,1,21.479999999999997,4,3,2,9,⭐ Loyal Customers
Livy Lathleiff,1220,1,36.45,1,3,3,7,🔄 Potential Loyalists
Llywellyn Oscroft,74,1,114.42499999999998,4,3,4,11,🏆 Champions
Lorelei Nardoni,1121,1,8.95,1,3,1,5,😴 At Risk
Lorenzo Yeoland,44,1,7.29,4,3,1,8,⭐ Loyal Customers
Lorianne Kyneton,546,1,29.849999999999998,3,3,2,8,⭐ Loyal Customers
Lothaire Mizzi,873,1,40.5,2,3,3,8,🔄 Potential Loyalists
Lowell Keenleyside,387,1,11.94,3,3,1,7,🔄 Potential Loyalists
Lucienne Scargle,1042,1,56.669999999999995,1,3,3,7,🔄 Potential Loyalists
Lukas Whittlesee,1164,1,17.924999999999997,1,3,2,6,😴 At Risk
Lyn Entwistle,774,1,9.95,2,3,1,6,😴 At Risk
Lyndsey MacManus,1208,1,136.61999999999998,1,3,4,8,🔄 Potential Loyalists
Lynnea Danton,534,1,19.9,3,3,2,8,⭐ Loyal Customers
Lyon Ibert,1227,1,8.73,1,3,1,5,😴 At Risk
Mab Blakemore,767,1,59.75,2,3,3,8,🔄 Potential Loyalists
Madelene Prinn,948,1,33.464999999999996,2,3,3,8,🔄 Potential Loyalists
Mag Armistead,347,1,43.684999999999995,3,3,3,9,⭐ Loyal Customers
Maggy Baistow,913,1,8.25,2,3,1,6,😴 At Risk
Maggy Harby,96,1,21.509999999999998,4,3,2,9,⭐ Loyal Customers
Mahala Ludwell,525,1,23.88,3,3,2,8,⭐ Loyal Customers
Maisie Sarvar,663,1,11.655,2,3,1,6,😴 At Risk
Malynda Glawsop,99,1,7.29,4,3,1,8,⭐ Loyal Customers
Man Fright,553,1,16.11,3,3,1,7,🔄 Potential Loyalists
Manuel Darrigoe,1237,1,14.339999999999998,1,3,1,5,😴 At Risk
Margie Palleske,1267,1,41.25,1,3,3,7,🔄 Potential Loyalists
Marianna Vedmore,435,1,114.42499999999998,3,3,4,10,🏆 Champions
Marie-jeanne Redgrave,66,1,13.365,4,3,1,8,⭐ Loyal Customers
Marja Urion,287,5,158.995,4,4,4,12,🏆 Champions
Marjorie Yoxen,744,1,35.64,2,3,3,8,🔄 Potential Loyalists
Marlena Howsden,1110,1,38.849999999999994,1,3,3,7,🔄 Potential Loyalists
Martie Brimilcombe,701,1,9.95,2,3,1,6,😴 At Risk
Marty Scholl,275,1,17.46,4,3,2,9,⭐ Loyal Customers
Marvin Gundry,1259,1,38.04,1,3,3,7,🔄 Potential Loyalists
Marvin Malloy,1317,1,68.655,1,3,4,8,🔄 Potential Loyalists
Mathilda Matiasek,39,1,63.24999999999999,4,3,4,11,🏆 Champions
Maxim McParland,1065,1,45.769999999999996,1,3,3,7,🔄 Potential Loyalists
Meade Birkin,81,1,29.1,4,3,2,9,⭐ Loyal Customers
Melli Brockway,967,1,34.154999999999994,2,3,3,8,🔄 Potential Loyalists
Melodie OIlier,584,1,5.369999999999999,3,3,1,7,🔄 Potential Loyalists
Melosa Kippen,289,1,5.369999999999999,4,3,1,8,⭐ Loyal Customers
Mercedes Acott,914,1,2.985,2,3,1,6,😴 At Risk
Merrel Steptow,1237,1,14.55,1,3,1,5,😴 At Risk
Merrile Cobbledick,387,1,6.75,3,3,1,7,🔄 Potential Loyalists
Michale Delves,640,1,155.24999999999997,2,3,4,9,🔄 Potential Loyalists
Milty Middis,512,1,178.70999999999998,3,3,4,10,🏆 Champions
Mindy Bogey,282,1,45.0,4,3,3,10,🏆 Champions
Minetta Ackrill,1034,1,59.75,1,3,3,7,🔄 Potential Loyalists
Minette Whellans,510,1,53.46,3,3,3,9,⭐ Loyal Customers
Minni Alabaster,1249,1,20.25,1,3,2,6,😴 At Risk
Minny Chamberlayne,1249,1,63.24999999999999,1,3,4,8,🔄 Potential Loyalists
Miran Doidge,272,1,41.25,4,3,3,10,🏆 Champions
Mitch Attwool,284,1,7.77,4,3,1,8,⭐ Loyal Customers
Modesty MacConnechie,118,2,18.689999999999998,4,4,2,10,🏆 Champions
Mohandis Spurden,1275,1,41.169999999999995,1,3,3,7,🔄 Potential Loyalists
Monica Fearon,460,1,5.97,3,3,1,7,🔄 Potential Loyalists
Monique Canty,1255,1,59.75,1,3,3,7,🔄 Potential Loyalists
Mord Meriet,1109,1,68.655,1,3,4,8,🔄 Potential Loyalists
Mordy Van Der Vlies,333,1,8.955,3,3,1,7,🔄 Potential Loyalists
Morgen Seson,269,2,27.195,4,4,2,10,🏆 Champions
Morly Rocks,129,1,8.95,4,3,1,8,⭐ Loyal Customers
Morna Hansed,380,1,21.509999999999998,3,3,2,8,⭐ Loyal Customers
Mozelle Calcutt,1277,1,39.8,1,3,3,7,🔄 Potential Loyalists
Muffin Yallop,1033,1,21.87,1,3,2,6,😴 At Risk
Murdock Hame,1018,1,31.7,1,3,3,7,🔄 Potential Loyalists
Murielle Lorinez,904,1,167.67000000000002,2,3,4,9,🔄 Potential Loyalists
Myles Seawright,510,1,24.3,3,3,2,8,⭐ Loyal Customers
Nadeen Broomer,652,1,22.884999999999998,2,3,2,7,🔄 Potential Loyalists
Nalani Pirrone,214,1,38.04,4,3,3,10,🏆 Champions
Nannie Naseby,463,1,16.5,3,3,1,7,🔄 Potential Loyalists
Nanny Izhakov,1046,1,23.9,1,3,2,6,😴 At Risk
Nanny Lush,1152,1,204.92999999999995,1,3,4,8,🔄 Potential Loyalists
Nat Saleway,274,1,9.51,4,3,1,8,⭐ Loyal Customers
Natal Vigrass,981,1,10.754999999999999,1,3,1,5,😴 At Risk
Nataniel Helkin,102,1,79.25,4,3,4,11,🏆 Champions
Nathan Sictornes,66,1,29.849999999999998,4,3,2,9,⭐ Loyal Customers
Natka Leethem,476,1,5.97,3,3,1,7,🔄 Potential Loyalists
Nealson Cuttler,454,1,281.675,3,3,4,10,🏆 Champions
Neely Broadberrie,461,1,63.4,3,3,4,10,🏆 Champions
Nertie Poolman,582,1,22.5,3,3,2,8,⭐ Loyal Customers
Nick Brakespear,617,1,23.31,3,3,2,8,⭐ Loyal Customers
Nickey Youles,902,1,148.92499999999998,2,3,4,9,🔄 Potential Loyalists
Nicko Corps,735,1,47.13999999999999,2,3,3,8,🔄 Potential Loyalists
Nicky Ayris,713,1,9.51,2,3,1,6,😴 At Risk
Nicolina Jenny,382,1,9.95,3,3,1,7,🔄 Potential Loyalists
Niels Leake,314,1,8.955,4,3,1,8,⭐ Loyal Customers
Nissie Rudland,342,1,59.699999999999996,3,3,3,9,⭐ Loyal Customers
Noak Wyvill,913,1,16.11,2,3,1,6,😴 At Risk
Noam Climance,1101,1,32.22,1,3,3,7,🔄 Potential Loyalists
Nobe Buney,1308,1,77.69999999999999,1,3,4,8,🔄 Potential Loyalists
Noel Chisholm,991,1,77.69999999999999,1,3,4,8,🔄 Potential Loyalists
Noni Furber,1090,1,148.92499999999998,1,3,4,8,🔄 Potential Loyalists
Norene Magauran,977,1,155.24999999999997,2,3,4,9,🔄 Potential Loyalists
Odelia Skerme,190,3,46.83,4,4,3,11,🏆 Champions
Odille Thynne,893,1,34.154999999999994,2,3,3,8,🔄 Potential Loyalists
Olag Baudassi,861,1,16.5,2,3,1,6,😴 At Risk
Oran Colbeck,73,1,91.53999999999999,4,3,4,11,🏆 Champions
Orazio Comber,540,1,90.27000000000001,3,3,4,10,🏆 Champions
Orbadiah Duny,586,1,40.5,3,3,3,9,⭐ Loyal Customers
Orland Tadman,495,1,23.88,3,3,2,8,⭐ Loyal Customers
Orly Ryland,162,1,9.51,4,3,1,8,⭐ Loyal Customers
Osbert Robins,750,1,148.92499999999998,2,3,4,9,🔄 Potential Loyalists
Osmund Clausen-Thue,1231,1,17.46,1,3,2,6,😴 At Risk
Othello Syseland,453,1,12.95,3,3,1,7,🔄 Potential Loyalists
Pall Redford,1164,1,82.33999999999999,1,3,4,8,🔄 Potential Loyalists
Paola Brydell,207,1,14.85,4,3,1,8,⭐ Loyal Customers
Parker Tofful,1211,1,72.9,1,3,4,8,🔄 Potential Loyalists
Parsifal Metrick,1272,1,33.464999999999996,1,3,3,7,🔄 Potential Loyalists
Patrice Trobe,137,1,11.655,4,3,1,8,⭐ Loyal Customers
Patsy Vasilenko,1158,1,20.625,1,3,2,6,😴 At Risk
Paulo Yea,419,1,61.754999999999995,3,3,3,9,⭐ Loyal Customers
Pen Wye,1224,1,17.91,1,3,2,6,😴 At Risk
Perice Eberz,893,1,7.77,2,3,1,6,😴 At Risk
Perkin Stonner,1031,1,6.75,1,3,1,5,😴 At Risk
Perry Lyfield,1277,1,89.35499999999999,1,3,4,8,🔄 Potential Loyalists
Petey Kingsbury,201,1,178.70999999999998,4,3,4,11,🏆 Champions
Peyter Lauritzen,301,1,7.77,4,3,1,8,⭐ Loyal Customers
Peyter Matignon,1086,1,29.7,1,3,2,6,😴 At Risk
Philipa Petrushanko,874,1,72.9,2,3,4,9,🔄 Potential Loyalists
Phyllys Ormerod,503,1,17.91,3,3,2,8,⭐ Loyal Customers
Pippo Witherington,238,1,26.19,4,3,2,9,⭐ Loyal Customers
Portie Cutchie,297,1,51.74999999999999,4,3,3,10,🏆 Champions
Pren Bess,147,1,14.924999999999999,4,3,1,8,⭐ Loyal Customers
Pru Durban,75,1,7.169999999999999,4,3,1,8,⭐ Loyal Customers
Queenie Veel,811,1,40.5,2,3,3,8,🔄 Potential Loyalists
Quinn Parsons,1104,1,17.91,1,3,2,6,😴 At Risk
Quintina Heavyside,612,1,13.424999999999997,3,3,1,7,🔄 Potential Loyalists
Rachelle Elizabeth,865,1,33.464999999999996,2,3,3,8,🔄 Potential Loyalists
Rafaela Treacher,584,1,17.91,3,3,2,8,⭐ Loyal Customers
Rafferty Pursglove,1126,1,75.24,1,3,4,8,🔄 Potential Loyalists
Raleigh Lepere,283,1,77.69999999999999,4,3,4,11,🏆 Champions
Ramon Cheak,579,1,31.624999999999996,3,4,3,10,🏆 Champions
Rana Sharer,202,1,44.75,4,4,3,11,🏆 Champions
Randal Longfield,710,1,109.93999999999998,2,4,4,10,🏆 Champions
Ransell McKall,757,1,10.739999999999998,2,4,1,7,🔄 Potential Loyalists
Raphaela Schankelborg,142,1,57.06,4,4,3,11,🏆 Champions
Rasia Jacquemard,375,1,24.75,3,4,2,9,⭐ Loyal Customers
Raynor McGilvary,708,1,91.53999999999999,2,4,4,10,🏆 Champions
Read Cutts,384,1,114.42499999999998,3,4,4,11,🏆 Champions
Reamonn Aynold,126,1,38.849999999999994,4,4,3,11,🏆 Champions
Rebeka Worg,449,1,23.31,3,4,2,9,⭐ Loyal Customers
Redd Simao,1077,1,178.70999999999998,1,4,4,9,🔄 Potential Loyalists
Reese Lidgey,660,1,58.2,2,4,3,9,🔄 Potential Loyalists
Reggie Thickpenny,554,1,66.92999999999999,3,4,4,11,🏆 Champions
Reinaldos Kirtley,828,1,44.55,2,4,3,9,🔄 Potential Loyalists
Rem Furman,476,1,56.25,3,4,3,10,🏆 Champions
Reube Cawley,372,1,82.33999999999999,3,4,4,11,🏆 Champions
Reynolds Crookshanks,578,1,36.45,3,4,3,10,🏆 Champions
Rhetta Elnaugh,397,1,17.82,3,4,2,9,⭐ Loyal Customers
Rhetta Zywicki,901,1,63.4,2,4,4,10,🏆 Champions
Rhianon Broxup,1036,1,77.69999999999999,1,4,4,9,🔄 Potential Loyalists
Rhodie Strathern,195,1,23.775,4,4,2,10,🏆 Champions
Rhona Lequeux,257,1,5.97,4,4,1,9,⭐ Loyal Customers
Rickey Readie,531,1,21.509999999999998,3,4,2,9,⭐ Loyal Customers
Rickie Faltin,499,1,11.25,3,4,1,8,⭐ Loyal Customers
Rikki Tomkowicz,529,1,29.849999999999998,3,4,2,9,⭐ Loyal Customers
Rochette Huscroft,638,1,21.87,2,4,2,8,🔄 Potential Loyalists
Rodger Raven,1080,1,5.97,1,4,1,6,😴 At Risk
Rodolfo Willoway,86,1,45.0,4,4,3,11,🏆 Champions
Romain Avrashin,38,1,114.42499999999998,4,4,4,12,🏆 Champions
Ronda Pyson,1034,1,21.509999999999998,1,4,2,7,🔄 Potential Loyalists
Rosaleen Scholar,49,1,49.75,4,4,3,11,🏆 Champions
Rosaline McLae,311,1,28.679999999999996,4,4,2,10,🏆 Champions
Roxie Deaconson,878,1,36.45,2,4,3,9,🔄 Potential Loyalists
Roxine Drivers,924,1,5.97,2,4,1,7,🔄 Potential Loyalists
Rozele Relton,34,1,59.4,4,4,3,11,🏆 Champions
Rufus Flear,673,1,15.54,2,4,1,7,🔄 Potential Loyalists
Russell Donet,411,1,60.75,3,4,3,10,🏆 Champions
Rutger Pithcock,1202,1,8.73,1,4,1,6,😴 At Risk
Ryann Stickler,861,1,24.3,2,4,2,8,🔄 Potential Loyalists
Sacha Bruun,833,1,2.985,2,4,1,7,🔄 Potential Loyalists
Sada Roseborough,1237,1,5.369999999999999,1,4,1,6,😴 At Risk
Scarlett Oliffe,1160,1,2.6849999999999996,1,4,1,6,😴 At Risk
Sean Lorenzetti,1139,1,95.1,1,4,4,9,🔄 Potential Loyalists
Selene Shales,1277,1,27.0,1,4,2,7,🔄 Potential Loyalists
Selia Ragles,193,1,17.91,4,4,2,10,🏆 Champions
Selle Scurrer,159,1,4.365,4,4,1,9,⭐ Loyal Customers
Selma McMillian,1011,2,37.980000000000004,1,4,3,8,🔄 Potential Loyalists
Serena Earley,317,1,68.30999999999999,3,4,4,11,🏆 Champions
Shannon List,1147,1,136.61999999999998,1,4,4,9,🔄 Potential Loyalists
Sharona Danilchik,1230,1,43.650000000000006,1,4,3,8,🔄 Potential Loyalists
Shawnee Critchlow,312,1,11.25,4,4,1,9,⭐ Loyal Customers
Shay Couronne,787,1,72.91,2,4,4,10,🏆 Champions
Shaylynn Lobe,211,1,21.87,4,4,2,10,🏆 Champions
Shelley Gehring,679,1,17.82,2,4,2,8,🔄 Potential Loyalists
Shelley Titley,1155,1,34.92,1,4,3,8,🔄 Potential Loyalists
Shelli De Banke,989,1,13.5,1,4,1,6,😴 At Risk
Shelli Keynd,990,1,204.92999999999995,1,4,4,9,🔄 Potential Loyalists
Sheppard Yann,1030,1,109.365,1,4,4,9,🔄 Potential Loyalists
Shermy Moseby,429,1,148.92499999999998,3,4,4,11,🏆 Champions
Shirleen Welds,338,1,74.25,3,4,4,11,🏆 Champions
Shirlene Edmondson,593,1,9.51,3,4,1,8,⭐ Loyal Customers
Sibella Rushbrooke,875,1,36.45,2,4,3,9,🔄 Potential Loyalists
Sidney Gawen,1255,1,3.5849999999999995,1,4,1,6,😴 At Risk
Sigfrid Busch,535,1,82.5,3,4,4,11,🏆 Champions
Silvan McShea,180,1,23.31,4,4,2,10,🏆 Champions
Silvana Northeast,469,1,21.87,3,4,2,9,⭐ Loyal Customers
Silvanus Enefer,1220,1,8.91,1,4,1,6,😴 At Risk
Silvio Strase,1213,1,28.53,1,4,2,7,🔄 Potential Loyalists
Sim Pamphilon,586,1,23.775,3,4,2,9,⭐ Loyal Customers
Simone Capon,89,1,29.849999999999998,4,4,2,10,🏆 Champions
Skipton Morrall,277,1,35.849999999999994,4,4,3,11,🏆 Champions
Sky Farnish,703,1,35.82,2,4,3,9,🔄 Potential Loyalists
Skylar Jeyness,611,1,23.31,3,4,2,9,⭐ Loyal Customers
Sloan Diviny,548,1,14.58,3,4,1,8,⭐ Loyal Customers
Stan Barribal,952,1,9.51,2,4,1,7,🔄 Potential Loyalists
Stanford Rodliff,1211,1,21.825000000000003,1,4,2,7,🔄 Potential Loyalists
Stanislaus Gilroy,256,1,26.19,4,4,2,10,🏆 Champions
Stanly Keets,546,1,139.725,3,4,4,11,🏆 Champions
Starr Arpin,1318,1,59.699999999999996,1,4,3,8,🔄 Potential Loyalists
Stearne Count,138,1,24.75,4,4,2,10,🏆 Champions
Stevana Woodham,1185,1,26.19,1,4,2,7,🔄 Potential Loyalists
Suzanna Bollam,1325,1,21.509999999999998,1,4,2,7,🔄 Potential Loyalists
Sylas Jennaroy,308,1,51.8,4,4,3,11,🏆 Champions
Tallie felip,307,1,178.70999999999998,4,4,4,12,🏆 Champions
Tamarah Fero,16,1,41.25,4,4,3,11,🏆 Champions
Tammie Drynan,679,1,29.16,2,4,2,8,🔄 Potential Loyalists
Tani Taffarello,637,1,27.484999999999996,2,4,2,8,🔄 Potential Loyalists
Tania Craggs,822,1,39.8,2,4,3,9,🔄 Potential Loyalists
Tawnya Menary,344,1,38.849999999999994,3,4,3,10,🏆 Champions
Teddi Crowthe,68,1,204.92999999999995,4,4,4,12,🏆 Champions
Teddi Quadri,1292,1,34.92,1,4,3,8,🔄 Potential Loyalists
Temple Castiglione,1054,1,68.30999999999999,1,4,4,9,🔄 Potential Loyalists
Terence Vanyutin,820,1,41.169999999999995,2,4,3,9,🔄 Potential Loyalists
Terencio O'Moylan,359,1,45.0,3,4,3,10,🏆 Champions
Terri Farra,426,3,289.11,3,4,4,11,🏆 Champions
Terry Sheryn,982,1,7.77,1,4,1,6,😴 At Risk
Tersina Castagne,751,1,17.91,2,4,2,8,🔄 Potential Loyalists
Tess Benediktovich,659,1,47.55,2,4,3,9,🔄 Potential Loyalists
Tess Bennison,230,1,51.74999999999999,4,4,3,11,🏆 Champions
Theda Grizard,936,1,10.935,2,4,1,7,🔄 Potential Loyalists
Theo Bowne,543,1,22.275,3,4,2,9,⭐ Loyal Customers
Theo Jacobovitz,852,1,46.62,2,4,3,9,🔄 Potential Loyalists
Theresita Newbury,18,1,17.91,4,4,2,10,🏆 Champions
Tildie Tilzey,120,1,21.509999999999998,4,4,2,10,🏆 Champions
Timofei Woofinden,354,1,6.75,3,4,1,8,⭐ Loyal Customers
Tomas Sutty,191,1,36.455,4,4,3,11,🏆 Champions
Tomasina Cotmore,1194,1,29.784999999999997,1,4,2,7,🔄 Potential Loyalists
Torie Gottelier,248,1,77.69999999999999,4,4,4,12,🏆 Champions
Tory Walas,281,1,8.25,4,4,1,9,⭐ Loyal Customers
Trescha Jedrachowicz,691,1,15.54,2,4,1,7,🔄 Potential Loyalists
Trina Le Sarr,37,1,29.784999999999997,4,4,2,10,🏆 Champions
Trumaine Tewelson,38,1,4.365,4,4,1,9,⭐ Loyal Customers
Tuckie Mathonnet,246,2,153.53499999999997,4,4,4,12,🏆 Champions
Tymon Zanetti,73,1,47.115,4,4,3,11,🏆 Champions
Ugo Southerden,808,1,77.69999999999999,2,4,4,10,🏆 Champions
Una Welberry,782,1,57.06,2,4,3,9,🔄 Potential Loyalists
Uriah Lethbrig,173,1,4.125,4,4,1,9,⭐ Loyal Customers
Val Wakelin,709,1,53.46,2,4,3,9,🔄 Potential Loyalists
Valenka Stansbury,747,1,11.94,2,4,1,7,🔄 Potential Loyalists
Vallie Kundt,99,1,29.784999999999997,4,4,2,10,🏆 Champions
Vanna Le - Count,185,1,4.755,4,4,1,9,⭐ Loyal Customers
Vanya Skullet,1261,1,8.055,1,4,1,6,😴 At Risk
Vasili Upstone,1168,1,29.849999999999998,1,4,2,7,🔄 Potential Loyalists
Vasily Polglase,708,1,68.75,2,4,4,10,🏆 Champions
Vernor Pawsey,329,1,35.849999999999994,3,4,3,10,🏆 Champions
Vicki Kirdsch,622,1,5.97,3,4,1,8,⭐ Loyal Customers
Vinny Shoebotham,946,1,19.02,2,4,2,8,🔄 Potential Loyalists
Violette Hellmore,921,1,5.97,2,4,1,7,🔄 Potential Loyalists
Virgil Baumadier,234,1,43.650000000000006,4,4,3,11,🏆 Champions
Vivie Danneil,1047,1,16.875,1,4,1,6,😴 At Risk
Vivyan Ceely,1081,1,23.88,1,4,2,7,🔄 Potential Loyalists
Vivyan Dunning,1132,1,7.77,1,4,1,6,😴 At Risk
Wain Cholomin,977,1,8.73,1,4,1,6,😴 At Risk
Wain Stearley,184,1,26.19,4,4,2,10,🏆 Champions
Wallis Bernth,1267,1,77.62499999999999,1,4,4,9,🔄 Potential Loyalists
Waneta Edinborough,703,1,23.31,2,4,2,8,🔄 Potential Loyalists
Wang Powlesland,765,1,148.92499999999998,2,4,4,10,🏆 Champions
Warner Maddox,112,1,7.77,4,4,1,9,⭐ Loyal Customers
Waylan Springall,936,1,36.455,2,4,3,9,🔄 Potential Loyalists
Waylin Hollingdale,673,1,6.75,2,4,1,7,🔄 Potential Loyalists
Webb Speechly,76,1,126.49999999999999,4,4,4,12,🏆 Champions
Wesley Giorgioni,1265,1,7.29,1,4,1,6,😴 At Risk
Wilek Lightollers,528,2,28.575,3,4,2,9,⭐ Loyal Customers
Wiley Leopold,151,1,5.97,4,4,1,9,⭐ Loyal Customers
Willabella Harvison,1144,1,68.655,1,4,4,9,🔄 Potential Loyalists
Willey Romao,162,1,51.8,4,4,3,11,🏆 Champions
Willy Pummery,564,1,28.53,3,4,2,9,⭐ Loyal Customers
Wilton Cottier,1322,1,16.5,1,4,1,6,😴 At Risk
Wilton Jallin,346,1,91.53999999999999,3,4,4,11,🏆 Champions
Winn Keyse,528,1,68.30999999999999,3,4,4,11,🏆 Champions
Winne Roche,111,1,15.54,4,4,1,9,⭐ Loyal Customers
Witty Ranson,502,1,83.83500000000001,3,4,4,11,🏆 Champions
Wren Place,962,1,13.5,2,4,1,7,🔄 Potential Loyalists
Wright Caldero,1253,1,28.679999999999996,1,4,2,7,🔄 Potential Loyalists
Wyatan Fetherston,798,1,59.4,2,4,3,9,🔄 Potential Loyalists
Xenos Gibbons,653,1,38.849999999999994,2,4,3,9,🔄 Potential Loyalists
Yardley Basill,345,1,35.849999999999994,3,4,3,10,🏆 Champions
Yulma Dombrell,362,1,26.73,3,4,2,9,⭐ Loyal Customers
Yuma Skipsey,1230,1,21.509999999999998,1,4,2,7,🔄 Potential Loyalists
Yuri Burrells,590,1,23.88,3,4,2,9,⭐ Loyal Customers
Zaccaria Sherewood,1010,1,9.51,1,4,1,6,😴 At Risk
Zachariah Carlson,358,1,71.69999999999999,3,4,4,11,🏆 Champions
Zacharias Kiffe,932,2,33.31,2,4,3,9,🔄 Potential Loyalists
Zachary Tramel,382,1,28.53,3,4,2,9,⭐ Loyal Customers
Zack Pellett,458,1,103.49999999999999,3,4,4,11,🏆 Champions
Zeke Walisiak,547,1,2.6849999999999996,3,4,1,8,⭐ Loyal Customers
Zorina Ponting,560,1,8.73,3,4,1,8,⭐ Loyal Customers
